nohup: ignoring input
epoch 0 batch 0: loss:232.698227; accuracy:0.0622
epoch 0 batch 1: loss:118.415726; accuracy:0.1044
epoch 0 batch 2: loss:95.494080; accuracy:0.0778
epoch 0 batch 3: loss:83.070160; accuracy:0.1111
epoch 0 batch 4: loss:72.764282; accuracy:0.0956
epoch 0 batch 5: loss:70.582420; accuracy:0.1133
epoch 0 batch 6: loss:67.440742; accuracy:0.0689
epoch 0 batch 7: loss:65.357132; accuracy:0.0956
epoch 0 batch 8: loss:50.428516; accuracy:0.0911
epoch 0 batch 9: loss:54.549564; accuracy:0.0667
epoch 0 batch 10: loss:52.613659; accuracy:0.0800
epoch 0 batch 11: loss:42.636238; accuracy:0.1067
epoch 0 batch 12: loss:44.379166; accuracy:0.0711
epoch 0 batch 13: loss:45.833515; accuracy:0.0889
epoch 0 batch 14: loss:38.133636; accuracy:0.0556
epoch 0 batch 15: loss:34.421120; accuracy:0.0489
epoch 0 batch 16: loss:32.159927; accuracy:0.0867
epoch 0 batch 17: loss:36.940182; accuracy:0.0889
epoch 0 batch 18: loss:33.211788; accuracy:0.0622
epoch 0 batch 19: loss:29.449596; accuracy:0.0556
epoch 0 batch 20: loss:30.843287; accuracy:0.1089
epoch 0 batch 21: loss:32.007412; accuracy:0.0800
epoch 0 batch 22: loss:26.316498; accuracy:0.0867
epoch 0 batch 23: loss:28.944477; accuracy:0.0778
epoch 0 batch 24: loss:25.076075; accuracy:0.0733
epoch 0 batch 25: loss:24.162956; accuracy:0.0733
epoch 0 batch 26: loss:19.272781; accuracy:0.0822
epoch 0 batch 27: loss:18.499260; accuracy:0.0978
epoch 0 batch 28: loss:18.400244; accuracy:0.1067
epoch 0 batch 29: loss:18.507368; accuracy:0.0778
epoch 0 batch 30: loss:20.330854; accuracy:0.1089
epoch 0 batch 31: loss:17.084284; accuracy:0.0644
epoch 0 batch 32: loss:15.931268; accuracy:0.0600
epoch 0 batch 33: loss:13.796415; accuracy:0.0867
epoch 0 batch 34: loss:15.015364; accuracy:0.0756
epoch 0 batch 35: loss:16.144081; accuracy:0.0800
epoch 0 batch 36: loss:13.535122; accuracy:0.0800
epoch 0 batch 37: loss:13.789240; accuracy:0.0844
epoch 0 batch 38: loss:12.332649; accuracy:0.1222
epoch 0 batch 39: loss:10.331790; accuracy:0.1044
epoch 0 batch 40: loss:12.558452; accuracy:0.0844
epoch 0 batch 41: loss:10.680610; accuracy:0.0733
epoch 0 batch 42: loss:11.320906; accuracy:0.0489
epoch 0 batch 43: loss:9.106813; accuracy:0.0689
epoch 0 batch 44: loss:8.673877; accuracy:0.1000
epoch 0 batch 45: loss:12.118445; accuracy:0.0733
epoch 0 batch 46: loss:8.459848; accuracy:0.0533
epoch 0 batch 47: loss:8.338084; accuracy:0.0667
epoch 0 batch 48: loss:9.857834; accuracy:0.0622
epoch 0 batch 49: loss:8.147171; accuracy:0.0711
epoch 0 batch 50: loss:9.501987; accuracy:0.0667
epoch 0 batch 51: loss:7.487260; accuracy:0.0778
epoch 0 batch 52: loss:7.179848; accuracy:0.0778
epoch 0 batch 53: loss:6.965797; accuracy:0.0800
epoch 0 batch 54: loss:6.650683; accuracy:0.0867
epoch 0 batch 55: loss:6.387393; accuracy:0.0600
epoch 0 batch 56: loss:5.546185; accuracy:0.0600
epoch 0 batch 57: loss:6.614166; accuracy:0.0622
epoch 0 batch 58: loss:5.605567; accuracy:0.1178
epoch 0 batch 59: loss:5.586461; accuracy:0.0733
epoch 0 batch 60: loss:5.611636; accuracy:0.0489
epoch 0 batch 61: loss:5.334456; accuracy:0.0756
epoch 0 batch 62: loss:5.846570; accuracy:0.0444
epoch 0 batch 63: loss:5.606456; accuracy:0.0778
epoch 0 batch 64: loss:5.151341; accuracy:0.0689
epoch 0 batch 65: loss:4.873531; accuracy:0.0733
epoch 0 batch 66: loss:4.832864; accuracy:0.0889
epoch 0 batch 67: loss:4.685687; accuracy:0.0756
epoch 0 batch 68: loss:4.680385; accuracy:0.0800
epoch 0 batch 69: loss:4.906001; accuracy:0.0622
epoch 0 batch 70: loss:4.658599; accuracy:0.0800
epoch 0 batch 71: loss:4.828359; accuracy:0.0533
epoch 0 batch 72: loss:4.139920; accuracy:0.0956
epoch 0 batch 73: loss:4.351007; accuracy:0.0578
epoch 0 batch 74: loss:4.161425; accuracy:0.0733
epoch 0 batch 75: loss:4.000904; accuracy:0.0844
epoch 0 batch 76: loss:4.075164; accuracy:0.0667
epoch 0 batch 77: loss:4.365590; accuracy:0.0533
epoch 0 batch 78: loss:4.338214; accuracy:0.0556
epoch 0 batch 79: loss:4.275640; accuracy:0.0800
epoch 0 batch 80: loss:4.075930; accuracy:0.0822
epoch 0 batch 81: loss:4.063622; accuracy:0.0622
epoch 0 batch 82: loss:3.814114; accuracy:0.0733
epoch 0 batch 83: loss:3.886789; accuracy:0.0911
epoch 0 batch 84: loss:3.971546; accuracy:0.0689
epoch 0 batch 85: loss:3.892731; accuracy:0.0667
epoch 0 batch 86: loss:3.981866; accuracy:0.0578
epoch 0 batch 87: loss:4.101972; accuracy:0.0600
epoch 0 batch 88: loss:4.022287; accuracy:0.0644
epoch 0 batch 89: loss:4.084979; accuracy:0.0689
epoch 0 batch 90: loss:3.661279; accuracy:0.0756
epoch 0 batch 91: loss:3.617644; accuracy:0.0711
epoch 0 batch 92: loss:4.055367; accuracy:0.0311
epoch 0 batch 93: loss:3.800550; accuracy:0.0800
epoch 0 batch 94: loss:3.836992; accuracy:0.0600
epoch 0 batch 95: loss:3.850416; accuracy:0.0689
epoch 0 batch 96: loss:3.671555; accuracy:0.0667
epoch 0 batch 97: loss:3.575799; accuracy:0.0689
epoch 0 batch 98: loss:3.875733; accuracy:0.0800
epoch 0 batch 99: loss:3.714839; accuracy:0.0333

epoch 0, on val, loss=1.9429 acc=0.2612

==> best loss model (loss = 1.942864), saving model...

epoch 1 batch 0: loss:3.569669; accuracy:0.0956
epoch 1 batch 1: loss:3.480156; accuracy:0.0822
epoch 1 batch 2: loss:3.688405; accuracy:0.0467
epoch 1 batch 3: loss:3.671900; accuracy:0.0978
epoch 1 batch 4: loss:3.786183; accuracy:0.0511
epoch 1 batch 5: loss:3.742390; accuracy:0.0644
epoch 1 batch 6: loss:3.586831; accuracy:0.0867
epoch 1 batch 7: loss:3.745198; accuracy:0.0489
epoch 1 batch 8: loss:3.760872; accuracy:0.0489
epoch 1 batch 9: loss:3.688198; accuracy:0.0622
epoch 1 batch 10: loss:3.655881; accuracy:0.0489
epoch 1 batch 11: loss:3.415974; accuracy:0.1044
epoch 1 batch 12: loss:3.525612; accuracy:0.0733
epoch 1 batch 13: loss:3.458984; accuracy:0.1067
epoch 1 batch 14: loss:3.666795; accuracy:0.0556
epoch 1 batch 15: loss:3.401536; accuracy:0.0911
epoch 1 batch 16: loss:3.468799; accuracy:0.0622
epoch 1 batch 17: loss:3.618775; accuracy:0.0578
epoch 1 batch 18: loss:3.718238; accuracy:0.0778
epoch 1 batch 19: loss:3.623224; accuracy:0.0644
epoch 1 batch 20: loss:3.651652; accuracy:0.0756
epoch 1 batch 21: loss:3.591266; accuracy:0.0844
epoch 1 batch 22: loss:3.719934; accuracy:0.0667
